0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:20:21 +0800] "GET / HTTP/1.1" 200 11418
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:20:29 +0800] "GET /hello/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:20:37 +0800] "GET /hello/hello2 HTTP/1.1" 500 7116
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:28:50 +0800] "GET /hello/hello2 HTTP/1.1" 500 9845
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:28:50 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:28:51 +0800] "GET /hello/hello2 HTTP/1.1" 500 9845
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:28:51 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:28:54 +0800] "GET /hello/hello2 HTTP/1.1" 500 9845
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:28:54 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:19 +0800] "GET /hello/hello2 HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:19 +0800] "GET /hello/js/welcome.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:19 +0800] "GET /hello/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:19 +0800] "GET /hello/js/jquery-2.2.1.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:19 +0800] "GET /hello/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:19 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:19 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:21 +0800] "GET /hello/hello2 HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:21 +0800] "GET /hello/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:21 +0800] "GET /hello/js/welcome.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:21 +0800] "GET /hello/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:21 +0800] "GET /hello/js/jquery-2.2.1.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:21 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:21 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:23 +0800] "GET /hello/hello2 HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:23 +0800] "GET /hello/js/jquery-2.2.1.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:23 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:23 +0800] "GET /hello/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:23 +0800] "GET /hello/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:23 +0800] "GET /hello/js/welcome.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:23 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:23 +0800] "GET /hello/hello2 HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:23 +0800] "GET /hello/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:23 +0800] "GET /hello/js/welcome.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:23 +0800] "GET /hello/js/jquery-2.2.1.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:23 +0800] "GET /hello/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:23 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:23 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
